codigo_actual,codigo_nuevo_propuesto,tipo_propuesto,familia_codigo_propuesta,familia_nombre_propuesta,subfamilia_propuesta,familia_actual,descripcion,unidad_medida,merma,precio_unidad,proveedor_precio,formato_compra,cantidad_formato_compra,unidad_formato_compra,precio_formato_compra,fecha_precio,url_precio,observaciones_precio,estado_revision,motivo_revision
ING-0891,ING-SECOS-0039,ING,SECOS,Almacén seco general,Almacén seco general,ALMACEN SECO,TOFU DURO FRESCO 295 G,kg,0.00,3.1600,,,,,,,,,revisar,almacén seco sin subclasificación clara
ING-0899,ING-SECOS-0040,ING,SECOS,Almacén seco general,Almacén seco general,ALMACEN SECO,TORTAS GAZPACHO,kg,0.00,,,,,,,,,,revisar,almacén seco sin subclasificación clara
ING-0902,ING-SECOS-0041,ING,SECOS,Almacén seco general,Almacén seco general,ALMACEN SECO,TRUFA ENTERA 10 G,kg,0.00,3.5000,,,,,,,,,revisar,almacén seco sin subclasificación clara
ING-0904,ING-SECOS-0042,ING,SECOS,Almacén seco general,Almacén seco general,ALMACEN SECO,VINAGRE BLANCO COMUN 2L,kg,0.00,1.5300,,,,,,,,,revisar,almacén seco sin subclasificación clara
ING-0905,ING-SECOS-0043,ING,SECOS,Almacén seco general,Almacén seco general,ALMACEN SECO,VINAGRE DE MODENA 750ML,kg,0.00,2.4900,,,,,,,,,revisar,almacén seco sin subclasificación clara
ING-0906,ING-SECOS-0044,ING,SECOS,Almacén seco general,Almacén seco general,ALMACEN SECO,VINAGRE DE MODENA REDUCCION,kg,0.00,,,,,,,,,,revisar,almacén seco sin subclasificación clara
ING-0907,ING-SECOS-0045,ING,SECOS,Almacén seco general,Almacén seco general,ALMACEN SECO,VINAGRE ESTRAGON 750ML,kg,0.00,1.3800,,,,,,,,,revisar,almacén seco sin subclasificación clara
ING-0908,ING-VAR-0003,ING,VAR,Varios / revisar,Varios,SIN CLASIFICAR,VINAGRE JEREZ HS 750ML,l,0.00,1.7900,,,,,,,,,revisar,familia actual sin clasificar/varios
ING-0910,ING-SECOS-0046,ING,SECOS,Almacén seco general,Almacén seco general,ALMACEN SECO,WASABI EN POLVO 35G,kg,0.00,2.9300,,,,,,,,,revisar,almacén seco sin subclasificación clara
ING-0912,ING-SECOS-0047,ING,SECOS,Almacén seco general,Almacén seco general,ALMACEN SECO,HILO DE BRIDAR,kg,0.00,,,,,,,,,,revisar,almacén seco sin subclasificación clara
ING-DSE,ING-VAR-0004,ING,VAR,Varios / revisar,Varios,pruebas,dse,lata,1.00,3.0000,,,,,,,,,revisar,familia de prueba; registro de prueba; sin regla de clasificación clara
ING-LEVEN,ING-VAR-0005,ING,VAR,Varios / revisar,Varios,SIN CLASIFICAR,Levadura En Polvo,kg,0.00,6.8300,,,,,,,,,revisar,familia actual sin clasificar/varios
ING-LEVPAR,ING-CER-0065,ING,CER,"Cereales, harinas, pan y masas","Cereales, harinas y masas",prueba,Levadura para pan,kg,0.00,5.0000,,,,,,,,,revisar,familia de prueba
ING-PRU,ING-VAR-0006,ING,VAR,Varios / revisar,Varios,SIN CLASIFICAR,PRUEBA,kg,0.00,5.0000,,,,,,,,,revisar,registro de prueba; familia actual sin clasificar/varios
ING-PRU-02,ING-VAR-0007,ING,VAR,Varios / revisar,Varios,prueba,prueba,l,10.00,5.0000,,,,,,,,,revisar,familia de prueba; registro de prueba; sin regla de clasificación clara
ING-SEMMEZ,ING-VAR-0008,ING,VAR,Varios / revisar,Varios,SIN CLASIFICAR,Semillas Mezcladas,kg,0.00,7.3000,,,,,,,,,revisar,familia actual sin clasificar/varios
ING-SFA,ING-VAR-0009,ING,VAR,Varios / revisar,Varios,SIN CLASIFICAR,sfa,l,0.00,5.0000,,,,,,,,,revisar,familia actual sin clasificar/varios
