codigo,descripcion,merma,precio_unidad,proveedor_precio,formato_compra,precio_original,unidad_original,fecha_precio,url_precio,observaciones_precio
ING-0609,LECHE DE COCO 1 LT DIEXPA,0.0,3.8,MAKRO,AROY-D leche de coco 17-19% brik 1 L,3.8,1 L,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X209101/0032/0021/AROY-D-leche-de-coco-17-19-1-L,"Precio con IVA/IGIC incluido. €/L. Producto equivalente, no marca Diexpa."
ING-0610,LECHE ENTERA,0.0,0.96,CONSUM,CONSUM leche entera brik 1 L,0.96,1 L,2026-06-13,https://tienda.consum.es/es/p/leche-entera-brik/7080596,Precio con IVA. €/L.
ING-0611,LECHE ENTERA DOBLE CREMA CAPUCHINO,0.0,,PENDIENTE,,,,2026-06-13,,Leche entera doble crema capuchino: no localizado equivalente claro; evitar sustituir por nata o leche normal.
ING-0612,LECHE EVAPORADA 525 G,0.0,4.86,CONSUM,IDEAL leche evaporada brik 525 g,2.55,525 g,2026-06-13,https://tienda.consum.es/es/p/leche-evaporada-brik/7184497,Precio con IVA. €/kg indicado por tienda.
ING-0613,LECHE SOJA SIN AZUCARES,0.0,0.75,CONSUM,CONSUM bebida de soja sin azúcares añadidos brik 1 L,0.75,1 L,2026-06-13,https://tienda.consum.es/es/p/bebida-de-soja-sin-azucares-anadidos-brik/7113756,Precio con IVA. €/L.
ING-0623,MANTEQUILLA 1K,0.0,10.13,MAKRO,METRO Chef mantequilla pura 1 kg,10.13,1 kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X53524/0032/0021/METRO-Chef-mantequilla-pura-1-Kg,Precio con IVA/IGIC incluido. €/kg.
ING-0809,MANTEQUILLA CACHUETE 510 G,0.0,8.6,CONSUM,CONSUM crema de cacahuete 500 g,4.3,500 g,2026-06-13,https://tienda.consum.es/es/c/despensa/desayuno-dulces-y-cafe/cremas-untar/1890,Producto equivalente a mantequilla/crema de cacahuete. Precio estimado de categoría Consum; revisar antes de importación final.
ING-0624,MANTEQUILLA HOJALDRE 12K,0.0,9.562,MAKRO,METRO Chef mantequilla bloque 5 kg,47.81,5 kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X192456/0032/0021/METRO-Chef-mantequilla-bloque-5-Kg,Equivalente profesional; no específica de hojaldre/laminado. Precio con IVA/IGIC incluido. Convertido a €/kg.
ING-0634,NATA AGRIA 500 G,0.0,7.84,MAKRO,Pastoret nata crème fraîche/cocinar 30% MG tarrina 500 g,3.92,500 g,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X36212/0032/0021/Pastoret-nata-crema-freiche-cocinar-30-materia-grasa-tarrina-500-g,Equivalente a nata agria/crème fraîche. Convertido a €/kg.
ING-0635,NATA COCINAR (1L.),0.0,3.14,MAKRO,ARO nata ligera para cocinar 15% MG brik 1 L,3.14,1 L,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X200731/0032/0021/aro-nata-ligera-para-cocinar-15-materia-grasa-1-L,Precio con IVA/IGIC incluido. €/L.
ING-0636,NATA MONTAR ( 1L.),0.0,3.75,CONSUM,CONSUM nata para montar minibrik 3 x 200 ml,2.25,600 ml,2026-06-13,https://tienda.consum.es/es/p/nata-para-montar-minibrik-pack-de-3/7264104,Precio con IVA. €/L indicado por tienda.
ING-0667,QUESO AZUL 100GX3,0.0,15.1,CONSUM,F.OCCITANES queso azul D'Auvergne DOP 100 g,1.51,100 g,2026-06-13,https://tienda.consum.es/es/p/queso-azul-dauvergne-dop/7360543,Precio con IVA. €/kg indicado por tienda.
ING-0668,QUESO AZUL DESMIGADO1K,0.0,16.7,CONSUM,SAINT-FLOUR queso azul leche vaca pasteurizada al peso,16.7,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/2812?page=41,"Equivalente a queso azul, no desmigado. Precio con IVA. €/kg."
ING-0669,QUESO BARRA EDAM 3K,0.0,11.9,CONSUM,M.VICENTE queso Edam barra leche vaca pasteurizada al peso,11.9,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/2812?page=45,Precio con IVA. €/kg.
ING-0670,QUESO CAMENBERT 250G,0.0,15.96,CONSUM,LE RUSTIQUE queso Camembert 250 g,3.99,250 g,2026-06-13,https://tienda.consum.es/es/p/queso-camembert/7440373,Precio con IVA. €/kg indicado por tienda.
ING-0671,QUESO CREMA 3K SAN MILLAN,0.0,9.95,CONSUM,SAN MILLAN queso untar natural 200 g,1.99,200 g,2026-06-13,https://tienda.consum.es/es/c/frescos/quesos/para-untar/2038,"Producto equivalente de la misma marca en formato retail, no cubo 3 kg. Precio con IVA. €/kg indicado por tienda."
ING-0673,QUESO FETA 200G,0.0,19.25,CONSUM,HOTOS queso feta DOP griego 200 g,3.85,200 g,2026-06-13,https://tienda.consum.es/es/p/queso-feta-dop-griego-leche-de-oveja-y-cabra/7192735,Precio con IVA. €/kg indicado por tienda.
ING-0674,QUESO FRESCO BURGOS 1k gm cash,0.0,10.75,CONSUM,GRANJA RINYA queso fresco tradicional 2 x 100 g,2.15,200 g,2026-06-13,https://tienda.consum.es/es/c/frescos/quesos/2019?page=10,Producto equivalente a queso fresco/Burgos. Precio con IVA. €/kg indicado por tienda.
ING-0675,QUESO GORGONZOLA 170 g mercadona,0.0,,PENDIENTE,,,,2026-06-13,,Gorgonzola 170 g Mercadona no verificado en fuentes objetivo. No sustituyo por queso azul genérico sin revisión.
ING-0676,QUESO GRUYERE mercadona 200 G,0.0,16.75,CONSUM,ENTREMONT queso Gruyère France IGP 200 g,3.35,200 g,2026-06-13,https://tienda.consum.es/es/p/queso-gruyere-france-igp/7402001,Precio con IVA. €/kg indicado por tienda.
ING-0677,QUESO HAVARTI,0.0,11.83,CONSUM,CONSUM queso Havarti lonchas IGP 300 g,3.55,300 g,2026-06-13,https://tienda.consum.es/es/p/queso-havarti-lonchas-igp/7422616,Precio con IVA. €/kg indicado por tienda.
ING-0678,QUESO MANCHEGO CURADO CUÑA 400g,0.0,19.96,CONSUM,CONSUM queso manchego viejo DOP cuña 250 g,4.99,250 g,2026-06-13,https://tienda.consum.es/es/p/queso-manchego-viejo-dop-cuna/7415664,Producto equivalente curado/viejo DOP. Precio con IVA. €/kg.
ING-0679,QUESO MANCHEGO SEMICURADO,0.0,9.85,CONSUM,CONSUM queso semicurado cuña al peso,9.85,1 kg,2026-06-13,https://tienda.consum.es/es/p/queso-semicurado-cuna/7450497,Precio con IVA. €/kg indicado por tienda.
ING-0680,QUESO MASCARPONE 500 G,0.0,15.8,CONSUM,GALBANI mascarpone 250 g,3.95,250 g,2026-06-13,https://tienda.consum.es/es/p/mascarpone/7213866,Producto equivalente a mascarpone 500 g. Precio con IVA. €/kg indicado por tienda.
ING-0681,QUESO MOZZARELLA FRESCO 125g,0.0,7.2,CONSUM,CONSUM queso mozzarella fresca 125 g,0.9,125 g,2026-06-13,https://tienda.consum.es/es/p/queso-mozzarella-fresca/7173094,Precio con IVA. €/kg indicado por tienda.
ING-0682,QUESO MOZZARELLA RALLADA 1K,0.0,19.71,CONSUM,ARLA queso rallado mozzarella bolsa 175 g,3.45,175 g,2026-06-13,https://tienda.consum.es/es/c/frescos/quesos/2019?page=4,Producto equivalente a mozzarella rallada; no formato 1 kg. Precio con IVA. €/kg.
ING-0683,QUESO PARMESANO CUÑA 250G,0.0,35.83,CONSUM,FERRARINI queso rallado Parmigiano Reggiano 60 g,2.15,60 g,2026-06-13,https://tienda.consum.es/es/c/frescos/quesos/2019?page=3,Equivalente a parmesano; formato retail. Precio con IVA. €/kg.
ING-0684,QUESO PHILADELPHIA 2KG,0.0,9.905,MAKRO,PHILADELPHIA crema de queso para untar cubo 2 kg,19.81,2 kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X102346/0032/0021/PHILADELPHIA-crema-de-queso-para-untar-cubo-2-Kg,Precio con IVA/IGIC incluido. Convertido a €/kg.
ING-0685,QUESO PHILADELPHIA 350G,0.0,10.66,CONSUM,PHILADELPHIA Natural tarrina 350 g,3.73,350 g,2026-06-13,https://tienda.consum.es/es/p/philadelphia-natural-tarrina/7214757,Precio con IVA. €/kg indicado por tienda.
ING-0672,QUESO RALLADO EMMENTAL,0.0,8.25,CONSUM,CONSUM queso rallado Emmental 200 g,1.65,200 g,2026-06-13,https://tienda.consum.es/es/p/queso-rallado-emmental/7036150,Precio con IVA. €/kg indicado por tienda.
ING-0686,QUESO roquefort societe 100 gr gm cash,0.0,21.7,CONSUM,F.OCCITANES queso Roquefort DOP 100 g,2.17,100 g,2026-06-13,https://tienda.consum.es/es/p/queso-roquefort-dop/7360548,Producto equivalente a Roquefort Société. Precio con IVA. €/kg indicado por tienda.
ING-0687,QUESO RULO CABRA 1K,0.0,17.8,CONSUM,G.BAQUERO rulo de cabra leche pasteurizada al peso,17.8,1 kg,2026-06-13,https://tienda.consum.es/es/p/queso-delicias-de-cabra-leche-pasteurizada/7190416,Precio con IVA. €/kg indicado por tienda.
ING-0688,QUESO TROCHON,0.0,,PENDIENTE,,,,2026-06-13,,Queso Tronchón/Trochon no localizado con precio oficial claro en fuentes objetivo.
ING-0706,YEMA PASTEURIZADA,0.0,11.94,MAKRO,METRO Chef yema de huevo pasteurizada botella 1 L,11.94,1 L,2026-06-13,https://tienda.makro.es/shop/category/alimentaci%C3%B3n-general/l%C3%A1cteos-y-huevos/huevos/huevo-l%C3%ADquido?facets=brand%3AMETRO%2520Chef,"Precio con IVA/IGIC incluido según categoría Makro. €/L. Producto pasteurizado, merma 0%."
ING-0707,YOGUR GRIEGO SIN AZUCAR 1K,0.0,2.1,CONSUM,CONSUM yogur griego natural azucarado 4 x 125 g,1.05,500 g,2026-06-13,https://tienda.consum.es/es/p/yogur-griego-natural-azucarado/7340776,Producto equivalente; el original indica sin azúcar. Precio con IVA. €/kg indicado por tienda. Revisar si se exige sin azúcar.
ING-0708,YOGURT NATURALDANONE 125G x 4 UNIDADES,0.0,2.1,CONSUM,CONSUM yogur griego natural azucarado 4 x 125 g,1.05,4 x 125 g,2026-06-13,https://tienda.consum.es/es/p/yogur-griego-natural-azucarado/7340776,Equivalente formato 4 unidades. Precio con IVA. €/kg indicado por tienda.
