codigo,descripcion,merma,precio_unidad,proveedor_precio,formato_compra,precio_original,unidad_original,fecha_precio,url_precio,observaciones_precio,estado_master,lote_origen,archivo_origen
ING-0045,LOMO ALTO,12.0,19.75,MAKRO,Lomo alto vaca +3 kg al vacío precio kg,19.75,1 kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X165895/0032/0021/Lomo-alto-vaca-%2B3-kg-precio-Kg,Precio con IVA/IGIC incluido. €/kg. Merma estimada por grasa/recorte.,ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0046,LOMO BAJO carnisseria sonia,10.0,23.49,MAKRO,Lomo bajo vaca +8 kg al vacío precio kg,23.49,1 kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X166844/0032/0021/Lomo-bajo-vaca-%2B8-kg-al-vac%C3%ADo-precio-Kg,Precio con IVA/IGIC incluido. €/kg. Merma estimada por limpieza.,ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0047,MOLLEJA DE TERNERA,8.0,,PENDIENTE,,,,2026-06-13,,Molleja de ternera no localizada con precio oficial claro.,PENDIENTE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0050,PATA TERNERA,35.0,,PENDIENTE,,,,2026-06-13,,Pata de ternera no localizada con precio oficial claro.,PENDIENTE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0051,PICADA TERNERA 800G MAKRO,0.0,10.98,CONSUM,CONSUM preparado picada de vacuno 400 g,4.39,400 g,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria/2148,Precio con IVA. Convertido a €/kg.,ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0052,RABO TROCEADO CONGELADO,25.0,15.45,MAKRO,Rabo de vacuno cortado congelado precio kg,15.45,€/kg,2026-06-13,https://tienda.makro.es/shop/category/alimentaci%C3%B3n-general/congelados/carne-congelada/cerdo-y-cochinillo,Precio con IVA/IGIC incluido según categoría. €/kg. Merma por hueso.,ACTUALIZABLE,lote10,actualizacion_precios_lote10_panes_masas_congelados_precocinados_con_mermas.csv
ING-0054,"SOLOMILLO VACA CONGELADO + 2,5K MAKRO",10.0,28.55,MAKRO,Solomillo de vaca congelado +3 kg precio kg,28.55,1 kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X50630/0032/0021/Solomillo-de-vaca-congelado-%2B-3kg-precio-kg,Precio con IVA/IGIC incluido. €/kg.,ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0055,"SOLOMILLO VACA FRESCO 2,2-2,4 K",10.0,58.5,CONSUM,Filete solomillo de ternera gallega,58.5,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria-corte/vacuno/5280,Precio con IVA. €/kg. Referencia retail fresca; revisar si se compra pieza completa.,ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0058,ABANICO CERDO IBÉRICO CONGELADO MAKRO 1K,3.0,18.65,MAKRO,"Abanico cerdo ibérico congelado calibre 0,8 kg/pieza",18.65,1 kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X151138/0032/0021/Abanico-de-cerdo-ib%C3%A9rico-congelado-precio-kg,Precio con IVA/IGIC incluido. €/kg. Merma baja por pieza limpia congelada.,ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0060,BACON PIEZA,2.0,,PENDIENTE,,,,2026-06-13,,Bacon pieza no localizado con equivalente oficial claro; no sustituyo por panceta fresca.,PENDIENTE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0062,CABEZA DE LOMO,5.0,6.35,CONSUM,Cabeza lomo de cerdo bandeja 600 g aprox.,6.35,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria/cerdo/2159,Precio con IVA. €/kg. Merma estimada por grasa y recorte.,ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0063,CANAL CERDO,35.0,,PENDIENTE,,,,2026-06-13,,Canal de cerdo no comparable con retail; requiere proveedor cárnico profesional.,PENDIENTE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0064,CARETA CERDO,15.0,6.99,CONSUM,Caretas de cerdo origen España pieza precio aprox.,6.99,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria-corte/cerdo/4062,Precio con IVA. €/kg. Merma estimada por limpieza y recortes.,ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0065,CARETA CERDO MEDIA SIN OREJA 420 g mercadona,15.0,6.99,CONSUM,Caretas de cerdo origen España pieza precio aprox.,6.99,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria-corte/cerdo/4062,Equivalente sin ajuste por oreja. Precio con IVA. €/kg.,ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0066,CARRILLADA,5.0,13.39,CONSUM,Carrillada de cerdo bandeja 400 g aprox.,13.39,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria/cerdo/2159,Precio con IVA. €/kg. Merma baja por pieza ya limpia.,ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0068,CHORIZO GUISAR,2.0,7.99,CONSUM,Chorizo tipo pueblo,7.99,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria/embutido/2166,Precio con IVA. €/kg. Equivalente para guisar.,ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0069,CHORIZO PICADILLO 800 gr,2.0,,PENDIENTE,,,,2026-06-13,,Chorizo picadillo 800 g no localizado con equivalente oficial claro.,PENDIENTE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0070,CHORIZO SARTA,2.0,7.99,CONSUM,Chorizo tipo pueblo,7.99,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria/embutido/2166,Precio con IVA. €/kg. Equivalente a chorizo sarta/pueblo.,ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0071,CHULETA CERDO CONGELADA CON HUESO 150G/CHULETA,20.0,6.74,CONSUM,Chuleta de lomo cerdo origen España,6.74,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria-corte/cerdo/4062,Precio con IVA. €/kg. Merma estimada por hueso.,ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0072,CHULETERO LOMO ENTERO CON SOLOMILLO +/-10K,12.0,7.19,CONSUM,Filete lomo de cerdo origen España,7.19,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria-corte/cerdo/4062,Equivalente lomo/chuletero. Precio con IVA. €/kg. Merma estimada por grasa y cordón.,ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0073,COCHINILLO CONGELADO2-4 K MAKRO,35.0,16.45,MAKRO,METRO Chef cochinillo 2-4 kg congelado,16.45,€/kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X219925/0032/0021/METRO-Chef-Cochinillo-2-4-Kg-congelado,Precio con IVA/IGIC incluido. €/kg. Merma por hueso y piel.,ACTUALIZABLE,lote10,actualizacion_precios_lote10_panes_masas_congelados_precocinados_con_mermas.csv
ING-0074,COCHINILLO CONGELADO 4-5 K MAKRO,35.0,18.1,MAKRO,METRO Chef cochinillo 4-5 kg congelado,18.1,€/kg,2026-06-13,https://tienda.makro.es/ordercapture/uidispatcher/static/shop/pv/BTY-X216048/0032/0021/METRO-Chef-Cochinillo-4-5-Kg-congelado,Precio con IVA/IGIC incluido. €/kg. Merma por hueso y piel.,ACTUALIZABLE,lote10,actualizacion_precios_lote10_panes_masas_congelados_precocinados_con_mermas.csv
ING-0075,COCHINILLO CONGELADO 5-6 K MAKRO,35.0,14.25,MAKRO,METRO Chef cochinillo 5-6 kg congelado,14.25,€/kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X51218/0032/0021/METRO-Chef-Cochinillo-5-6-kg-congelado-precio-kg,Precio con IVA/IGIC incluido. €/kg. Merma por hueso y piel.,ACTUALIZABLE,lote10,actualizacion_precios_lote10_panes_masas_congelados_precocinados_con_mermas.csv
ING-0076,"COCHINILLO PIERNA CONGELADO 1,5-2,5K MAKRO",30.0,14.8,MAKRO,"METRO Chef pierna de cochinillo congelada 0,3-1 kg",14.8,€/kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X51006/0032/0021/METRO-Chef-Pierna-de-cochinillo-congelada-03-1-kg-precio-kg,Precio con IVA/IGIC incluido. €/kg. Merma por hueso.,ACTUALIZABLE,lote10,actualizacion_precios_lote10_panes_masas_congelados_precocinados_con_mermas.csv
ING-0077,CODILLO FRESCO ENTERO carnisseria sonia,0.0,,PENDIENTE,,,,2026-06-13,,Fuera de lote: codillo fresco corresponde a carnes.,PENDIENTE,lote11,actualizacion_precios_lote11_bebidas_cafes_infusiones_con_mermas.csv
ING-0078,CODILLO SALMUERIZADO,0.0,,PENDIENTE,,,,2026-06-13,,Fuera de lote: codillo salmuerizado pertenece a carnes/lote03.,PENDIENTE,lote09,actualizacion_precios_lote09_almacen_seco_conservas_salsas_con_mermas.csv
ING-0079,COLA CERDO,25.0,7.49,CONSUM,Rabos de cerdo origen España,7.49,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria-corte/cerdo/4062,Equivalente a cola/rabo de cerdo. Precio con IVA. €/kg. Merma por hueso/cartílago.,ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0080,"COMPANGO 1,5K",0.0,11.8,CONSUM,MAYBE compango asturiano 250 g,2.95,250 g,2026-06-13,https://tienda.consum.es/es/p/compango-asturiano/7426898,"Precio con IVA. Convertido a €/kg; equivalente retail al formato 1,5 kg.",ACTUALIZABLE,lote10,actualizacion_precios_lote10_panes_masas_congelados_precocinados_con_mermas.csv
ING-0081,COSTILLAR BANDA,25.0,8.99,CONSUM,Tira de costilla de cerdo origen España pieza 1 kg aprox.,8.99,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria-corte/cerdo/4062,Precio con IVA. €/kg. Merma estimada por hueso.,ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0082,COSTILLAR BANDA TROCEADO,25.0,7.99,CONSUM,Costilla de cerdo,7.99,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria/cerdo/2159,Precio con IVA. €/kg. Merma estimada por hueso.,ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0083,COSTILLAR CORTE FOSTER,25.0,8.99,CONSUM,Tira de costilla de cerdo origen España pieza 1 kg aprox.,8.99,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria-corte/cerdo/4062,Equivalente costillar corte especial. Precio con IVA. €/kg.,ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0085,HIGADO CERDO,8.0,,PENDIENTE,,,,2026-06-13,,Hígado de cerdo no localizado con precio oficial claro en estas fuentes.,PENDIENTE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0086,HUESO JAMON,0.0,,PENDIENTE,,,,2026-06-13,,"Hueso de jamón: no localizado precio oficial claro; si se usa para caldo, merma operativa 0%.",PENDIENTE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0087,HUESOS CERDO,0.0,6.69,CONSUM,Espinazo de cerdo origen España,6.69,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria-corte/cerdo/4062,Equivalente huesos/espinazo para fondos. Precio con IVA. €/kg. Merma 0% por uso completo en caldo.,ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0088,JAMON FRESCO ENTERO PIERNA 10-15 K,15.0,,PENDIENTE,,,,2026-06-13,,Jamón fresco entero pierna no comparable con retail; requiere proveedor cárnico.,PENDIENTE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0089,JAMON IBERICO LONCHEADO 400G,0.0,,PENDIENTE,,,,2026-06-13,,Jamón ibérico loncheado 400 g: precio muy variable por marca/calidad; revisar proveedor exacto.,PENDIENTE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0090,JAMON SERRANO A TAQUITOS 200 G mercadona,0.0,13.93,CONSUM,LORIENTE taquitos de jamón serrano 2 x 75 g,2.09,150 g,2026-06-13,https://tienda.consum.es/es/c/frescos/charcuteria/curado/jamon/2016,Precio con IVA. Convertido a €/kg.,ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0091,JAMON SERRANO EN PIEZA,5.0,12.29,CONSUM,NAVIDUL jamón reserva 12 meses pieza 7-8 kg,12.29,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/charcuteria-corte/4070,Precio con IVA. €/kg. Merma estimada por corte/corteza/hueso si se compra pieza.,ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0092,JAMON SERRANO loncheado,0.0,17.05,CONSUM,CONSUM jamón gran reserva lonchas 2 x 110 g,3.75,220 g,2026-06-13,https://tienda.consum.es/es/c/frescos/charcuteria/curado/2012?page=2,Precio con IVA. Convertido a €/kg.,ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0093,JAMON YORK BARRA 3K,0.0,19.9,CONSUM,Jamón cocido extra 92% carne al peso/barra,19.9,€/kg,2026-06-13,https://tienda.consum.es/es/p/jamon-cocido-extra-92-carne/7070469,Más exacto para barra que la referencia de lonchas. Precio con IVA. €/kg.,ACTUALIZABLE,lote10,actualizacion_precios_lote10_panes_masas_congelados_precocinados_con_mermas.csv
ING-0094,LOMO CINTA FRESCA,5.0,7.19,CONSUM,Filete lomo de cerdo origen España,7.19,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria-corte/cerdo/4062,Precio con IVA. €/kg.,ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0095,"LOMO CERDO IBERICO CONGELADO MAKRO 2,5KG",3.0,,PENDIENTE,,,,2026-06-13,,Lomo de cerdo ibérico congelado no localizado con equivalencia suficientemente clara.,PENDIENTE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0096,LONGANIZA fresca,2.0,6.59,CONSUM,Longaniza extra bandeja 450 g aprox.,6.59,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria/embutido/2166,Precio con IVA. €/kg.,ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0097,LONGANIZA MINI,2.0,8.49,CONSUM,Barbacoa mini,8.49,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria/embutido/2166,Equivalente para longaniza mini/barbacoa. Precio con IVA. €/kg.,ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0098,MANTECA DE CERDO 400 g,0.0,9.38,CONSUM,LEGADO manteca de cerdo ibérico 400 g,3.75,400 g,2026-06-13,https://tienda.consum.es/es/p/manteca-de-cerdo-iberico/7019599,Precio con IVA. Convertido a €/kg.,ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0099,MORCILLA IBERICA ACHORIZADA,2.0,,PENDIENTE,,,,2026-06-13,,Morcilla ibérica achorizada no localizada con precio oficial claro.,PENDIENTE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0100,MORCILLA ARROZ/CARNE,2.0,5.96,CONSUM,MARI PAZ morcilla de Burgos 265 g,1.58,265 g,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria/embutido/2166,Precio con IVA. Convertido a €/kg. Equivalente morcilla arroz.,ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0101,MORCILLA OREADA CEBOLLA,2.0,7.49,CONSUM,Morcilla de cebolla oreada pieza precio aprox.,7.49,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria-corte/embutido/4066,Precio con IVA. €/kg.,ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0102,MORCILLA CEBOLLA MINI,2.0,7.49,CONSUM,Morcilla de cebolla oreada pieza precio aprox.,7.49,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/carniceria-corte/embutido/4066,Precio con IVA. €/kg. Equivalente a morcilla cebolla mini.,ACTUALIZABLE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0103,OREJA CERDO,10.0,,PENDIENTE,,,,2026-06-13,,Oreja de cerdo no localizada con precio oficial claro en este lote.,PENDIENTE,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv
ING-0104,PANCETA cortada,5.0,5.99,CONSUM,CONSUM filetes panceta de cerdo,5.99,€/kg,2026-06-13,https://tienda.consum.es/es/p/costilla-de-cerdo/3347556,Precio con IVA. €/kg indicado en recomendados de la ficha. Merma baja por recorte/grasa.,ACTUALIZABLE,lote10,actualizacion_precios_lote10_panes_masas_congelados_precocinados_con_mermas.csv
