codigo,descripcion,merma,precio_unidad,proveedor_precio,formato_compra,precio_original,unidad_original,fecha_precio,url_precio,observaciones_precio,lote_origen,archivo_origen,_tiene_precio,_score,seleccionado_master,motivo_resolucion
ING-0093,JAMON YORK BARRA 3K,0.0,19.9,CONSUM,Jamón cocido extra 92% carne al peso/barra,19.9,€/kg,2026-06-13,https://tienda.consum.es/es/p/jamon-cocido-extra-92-carne/7070469,Más exacto para barra que la referencia de lonchas. Precio con IVA. €/kg.,lote10,actualizacion_precios_lote10_panes_masas_congelados_precocinados_con_mermas.csv,SI,1165,SI,"Seleccionado por tener mejor combinación de precio, proveedor, URL y observación."
ING-0093,JAMON YORK BARRA 3K,0.0,10.0,CONSUM,CONSUM jamón cocido extra finas lonchas 160 g,1.6,160 g,2026-06-13,https://tienda.consum.es/es/c/frescos/charcuteria/cocido/jamon-cocido-york/2010,Equivalente retail a jamón cocido/york. Precio con IVA. Convertido a €/kg.,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv,SI,1120,NO,Descartado frente a otra fila del mismo código con mejor puntuación o precio más útil.
ING-0095,"LOMO CERDO IBERICO CONGELADO MAKRO 2,5KG",3.0,,PENDIENTE,,,,2026-06-13,,Lomo de cerdo ibérico congelado no localizado con equivalencia suficientemente clara.,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv,NO,0,SI,"Seleccionado por tener mejor combinación de precio, proveedor, URL y observación."
ING-0095,"LOMO CERDO IBERICO CONGELADO MAKRO 2,5KG",0.0,,PENDIENTE,,,,2026-06-13,,Lomo cerdo ibérico congelado: sigue sin equivalente oficial claro; no actualizo.,lote10,actualizacion_precios_lote10_panes_masas_congelados_precocinados_con_mermas.csv,NO,-15,NO,Descartado frente a otra fila del mismo código con mejor puntuación o precio más útil.
ING-0111,PLUMA CERDO IBÉRICO CONGELADO MAKRO 1K,3.0,26.35,MAKRO,METRO Chef pluma de cerdo ibérico congelada,26.35,1 kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X109730/0032/0021/METRO-Chef-Pluma-de-cerdo-de-de-raza-ib%C3%A9rica-congelada-precio-kg,Precio con IVA/IGIC incluido. €/kg.,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv,SI,1135,SI,"Seleccionado por tener mejor combinación de precio, proveedor, URL y observación."
ING-0111,PLUMA CERDO IBÉRICO CONGELADO MAKRO 1K,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: pluma cerdo ibérico ya tratada en lote03 carnes.,lote10,actualizacion_precios_lote10_panes_masas_congelados_precocinados_con_mermas.csv,NO,-70,NO,Descartado frente a otra fila del mismo código con mejor puntuación o precio más útil.
ING-0112,PRESA CERDO IBERICO CONGELADO 1K,3.0,25.91,MAKRO,Presa de cerdo ibérico congelado precio kg,25.91,1 kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X108847/0032/0021/Presa-de-cerdo-ib%C3%A9rico-congelado-precio-kg,Precio con IVA/IGIC incluido. €/kg.,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv,SI,1135,SI,"Seleccionado por tener mejor combinación de precio, proveedor, URL y observación."
ING-0112,PRESA CERDO IBERICO CONGELADO 1K,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: presa cerdo ibérico congelada ya tratada en lote03 carnes.,lote10,actualizacion_precios_lote10_panes_masas_congelados_precocinados_con_mermas.csv,NO,-70,NO,Descartado frente a otra fila del mismo código con mejor puntuación o precio más útil.
ING-0116,SECRETO CERDO IBERICO CONGELADO 1K MAKRO,3.0,12.05,MAKRO,Secreto de cerdo ibérico congelado precio kg,12.05,1 kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X107417/0032/0021/Secreto-de-cerdo-ib%C3%A9rico-congelado-precio-kg,Precio con IVA/IGIC incluido. €/kg.,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv,SI,1135,SI,"Seleccionado por tener mejor combinación de precio, proveedor, URL y observación."
ING-0116,SECRETO CERDO IBERICO CONGELADO 1K MAKRO,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: secreto cerdo ibérico congelado ya tratado en lote03 carnes.,lote10,actualizacion_precios_lote10_panes_masas_congelados_precocinados_con_mermas.csv,NO,-70,NO,Descartado frente a otra fila del mismo código con mejor puntuación o precio más útil.
ING-0119,SOLOMILLO CERDO IBÉRICO CONGELADO MAKRO 1K,3.0,21.18,MAKRO,Solomillo de cerdo ibérico congelado precio kg,21.18,1 kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X137516/0032/0021/Solomillo-de-cerdo-ib%C3%A9rico-congelado-precio-kg,Precio con IVA/IGIC incluido. €/kg.,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv,SI,1135,SI,"Seleccionado por tener mejor combinación de precio, proveedor, URL y observación."
ING-0119,SOLOMILLO CERDO IBÉRICO CONGELADO MAKRO 1K,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: solomillo cerdo ibérico congelado ya tratado en lote03 carnes.,lote10,actualizacion_precios_lote10_panes_masas_congelados_precocinados_con_mermas.csv,NO,-70,NO,Descartado frente a otra fila del mismo código con mejor puntuación o precio más útil.
ING-0147,ATUN LOMO VACÍO refrigerado 3-5K,3.0,13.59,MAKRO,Lomo de atún vacío 1 kg FAO 77,13.59,1 kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X173868/0032/0021/At%C3%BAn-lomo-vac%C3%ADo-1kg-FAO-77-Atl%C3%A1ntico-Este-Central,Precio con IVA/IGIC incluido. €/kg. Merma baja por pieza limpia.,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv,SI,1135,SI,"Seleccionado por tener mejor combinación de precio, proveedor, URL y observación."
ING-0147,ATUN LOMO VACÍO refrigerado 3-5K,3.0,,PENDIENTE,,,,2026-06-13,,Pescado/marisco: reservado para lote04 pescado y marisco.,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv,NO,0,NO,Descartado frente a otra fila del mismo código con mejor puntuación o precio más útil.
ING-0148,BACALAO LIMPIO cortado descongelado a la sal 500 g,5.0,19.9,CONSUM,Filete de bacalao precio aprox.,19.9,1 kg,2026-06-13,https://tienda.consum.es/es/p/filete-de-bacalao/7108314,Precio con IVA. €/kg. Producto equivalente a bacalao limpio cortado.,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv,SI,1120,SI,"Seleccionado por tener mejor combinación de precio, proveedor, URL y observación."
ING-0148,BACALAO LIMPIO cortado descongelado a la sal 500 g,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado/fuera de lote: bacalao limpio tratado en lote04.,lote09,actualizacion_precios_lote09_almacen_seco_conservas_salsas_con_mermas.csv,NO,-70,NO,Descartado frente a otra fila del mismo código con mejor puntuación o precio más útil.
ING-0148,BACALAO LIMPIO cortado descongelado a la sal 500 g,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: bacalao limpio tratado en lote04 pescado.,lote10,actualizacion_precios_lote10_panes_masas_congelados_precocinados_con_mermas.csv,NO,-70,NO,Descartado frente a otra fila del mismo código con mejor puntuación o precio más útil.
ING-0151,"BOGAVANTE FRESCO 0,4-0,6 USA",65.0,34.05,CONSUM,DELFIN bogavante crudo peso aprox. 425 g,14.3,"0,42 kg",2026-06-13,https://tienda.consum.es/es/c/congelados/pescados-mariscos/2521,"Equivalente congelado a bogavante 0,4-0,6. Precio con IVA. €/kg.",lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv,SI,1120,SI,"Seleccionado por tener mejor combinación de precio, proveedor, URL y observación."
ING-0151,"BOGAVANTE FRESCO 0,4-0,6 USA",0.0,,PENDIENTE,,,,2026-06-13,,Fuera de lote: pescado/marisco tratado en lote04.,lote11,actualizacion_precios_lote11_bebidas_cafes_infusiones_con_mermas.csv,NO,-70,NO,Descartado frente a otra fila del mismo código con mejor puntuación o precio más útil.
ING-0152,BONITO DEL NORTE 3K,5.0,19.9,CONSUM,Lomo de bonito pieza precio aprox.,19.9,1 kg,2026-06-13,https://tienda.consum.es/es/p/lomo-de-bonito/7377034,Precio con IVA. €/kg indicado por tienda. Merma estimada por recorte.,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv,SI,1135,SI,"Seleccionado por tener mejor combinación de precio, proveedor, URL y observación."
ING-0152,BONITO DEL NORTE 3K,0.0,,PENDIENTE,,,,2026-06-13,,Fuera de lote: pescado/marisco tratado en lote04.,lote11,actualizacion_precios_lote11_bebidas_cafes_infusiones_con_mermas.csv,NO,-70,NO,Descartado frente a otra fila del mismo código con mejor puntuación o precio más útil.
ING-0153,BOQUERON grande mediterraneo,35.0,6.95,CONSUM,Boquerón a peso,6.95,1 kg,2026-06-13,https://tienda.consum.es/es/p/boqueron/225292,Precio con IVA. €/kg. Merma por cabeza/espina.,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv,SI,1135,SI,"Seleccionado por tener mejor combinación de precio, proveedor, URL y observación."
ING-0153,BOQUERON grande mediterraneo,0.0,,PENDIENTE,,,,2026-06-13,,Fuera de lote: pescado/marisco tratado en lote04.,lote11,actualizacion_precios_lote11_bebidas_cafes_infusiones_con_mermas.csv,NO,-70,NO,Descartado frente a otra fila del mismo código con mejor puntuación o precio más útil.
ING-0155,CABALLA DEL NORTE,35.0,,PENDIENTE,,,,2026-06-13,,Caballa fresca no localizada; no actualizo con conserva.,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv,NO,0,SI,"Seleccionado por tener mejor combinación de precio, proveedor, URL y observación."
ING-0155,CABALLA DEL NORTE,0.0,,PENDIENTE,,,,2026-06-13,,Fuera de lote: pescado/marisco.,lote11,actualizacion_precios_lote11_bebidas_cafes_infusiones_con_mermas.csv,NO,-70,NO,Descartado frente a otra fila del mismo código con mejor puntuación o precio más útil.
ING-0159,CARACOL PRECOCIDO 1K,5.0,7.14,CONSUM,Caracol avellanec 350 g,2.5,350 g,2026-06-13,https://tienda.consum.es/es/c/frescos/pescaderia/2171?page=6,Equivalente a caracol cocido/tierra. Precio con IVA. €/kg indicado por tienda.,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv,SI,1120,SI,"Seleccionado por tener mejor combinación de precio, proveedor, URL y observación."
ING-0159,CARACOL PRECOCIDO 1K,5.0,,PENDIENTE,,,,2026-06-13,,Caracol ya tratado en lote04 pescado/marisco. No actualizar en lote verduras.,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv,NO,0,NO,Descartado frente a otra fila del mismo código con mejor puntuación o precio más útil.
ING-0202,ATUN LOMO 3-5K,5.0,16.45,MAKRO,Atún lomo c/p 2-5 kg elaborado FAO34,16.45,1 kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X225234/0032/0021/ATUN-LOMO-C-P-2-5KG-ELAB-FAO34,Precio con IVA/IGIC incluido. €/kg. Merma razonable 5% por limpieza/recorte.,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv,SI,1135,SI,"Seleccionado por tener mejor combinación de precio, proveedor, URL y observación."
ING-0202,ATUN LOMO 3-5K,3.0,,PENDIENTE,,,,2026-06-13,,Pescado/marisco: reservado para lote04 pescado y marisco.,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv,NO,0,NO,Descartado frente a otra fila del mismo código con mejor puntuación o precio más útil.
ING-0204,BACALAO COCOCHAS,5.0,,PENDIENTE,,,,2026-06-13,,Cocochas de bacalao no localizadas con precio oficial claro.,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv,NO,0,SI,"Seleccionado por tener mejor combinación de precio, proveedor, URL y observación."
ING-0204,BACALAO COCOCHAS,5.0,,PENDIENTE,,,,2026-06-13,,"Fuera de lote: pescado/marisco, revisar en lote04.",lote06,actualizacion_precios_lote06_frutas_con_mermas.csv,NO,-85,NO,Descartado frente a otra fila del mismo código con mejor puntuación o precio más útil.
ING-0204,BACALAO COCOCHAS,5.0,,PENDIENTE,,,,2026-06-13,,Fuera de lote: pescado/marisco. Revisado en lote04.,lote08,actualizacion_precios_lote08_pasteleria_frutos_secos_chocolate_con_mermas.csv,NO,-70,NO,Descartado frente a otra fila del mismo código con mejor puntuación o precio más útil.
ING-0205,BACALAO LOMO 2K PUNTO DE SAL,3.0,28.54,MAKRO,Icelandic lomo bacalao +300 g caja 2 kg,57.08,2 kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X169902/0032/0021/Icelandic-Lomo-bacalao-%2B300g-2Kg,Precio con IVA/IGIC incluido. Convertido a €/kg.,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv,SI,1135,SI,"Seleccionado por tener mejor combinación de precio, proveedor, URL y observación."
ING-0205,BACALAO LOMO 2K PUNTO DE SAL,0.0,,PENDIENTE,,,,2026-06-13,,Pescado/marisco: reservado para lote04 pescado y marisco.,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv,NO,0,NO,Descartado frente a otra fila del mismo código con mejor puntuación o precio más útil.
ING-0205,BACALAO LOMO 2K PUNTO DE SAL,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado/fuera de lote: bacalao lomo tratado en lote04.,lote09,actualizacion_precios_lote09_almacen_seco_conservas_salsas_con_mermas.csv,NO,-70,NO,Descartado frente a otra fila del mismo código con mejor puntuación o precio más útil.
ING-0206,BACALAO LOMO EXTRA 250/300 MAKRO,3.0,28.54,MAKRO,Icelandic lomo bacalao +300 g caja 2 kg,57.08,2 kg,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X169902/0032/0021/Icelandic-Lomo-bacalao-%2B300g-2Kg,Equivalente a lomo extra 250/300. Precio con IVA/IGIC incluido. Convertido a €/kg.,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv,SI,1120,SI,"Seleccionado por tener mejor combinación de precio, proveedor, URL y observación."
ING-0206,BACALAO LOMO EXTRA 250/300 MAKRO,0.0,,PENDIENTE,,,,2026-06-13,,Pescado/marisco: reservado para lote04 pescado y marisco.,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv,NO,0,NO,Descartado frente a otra fila del mismo código con mejor puntuación o precio más útil.
ING-0207,BACALAO LOMO JUMBO 1K,3.0,24.9977,MAKRO,"Icelandic bacalao lomo jumbo +500 g caja 4,4 kg",109.99,"4,4 kg",2026-06-13,https://tienda.makro.es/shop/pv/BTY-X67661/0032/0021/Icelandic-bacalao-lomo-jumbo-%2B500g-4-4Kg,Precio con IVA/IGIC incluido. Convertido a €/kg.,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv,SI,1135,SI,"Seleccionado por tener mejor combinación de precio, proveedor, URL y observación."
ING-0207,BACALAO LOMO JUMBO 1K,0.0,,PENDIENTE,,,,2026-06-13,,Pescado/marisco: reservado para lote04 pescado y marisco.,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv,NO,0,NO,Descartado frente a otra fila del mismo código con mejor puntuación o precio más útil.
ING-0209,BOGAVANTE CRUDO 350/400 5K 12 PZ,65.0,17.998,MAKRO,BARRUFET bogavante crudo 350/400 g caja 5 kg,89.99,5 kg,2026-06-13,https://tienda.makro.es/shop/store/pv/BTY-X164745/0032/0021/BARRUFET-Scanfisk-Seafood-Elafrozen-Bogavante-crudo-350-400g-5Kg,Precio con IVA/IGIC incluido. Convertido a €/kg. Merma por caparazón.,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv,SI,1135,SI,"Seleccionado por tener mejor combinación de precio, proveedor, URL y observación."
ING-0209,BOGAVANTE CRUDO 350/400 5K 12 PZ,0.0,,PENDIENTE,,,,2026-06-13,,Fuera de lote: pescado/marisco tratado en lote04.,lote11,actualizacion_precios_lote11_bebidas_cafes_infusiones_con_mermas.csv,NO,-70,NO,Descartado frente a otra fila del mismo código con mejor puntuación o precio más útil.
ING-0210,BOGAVANTE CRUDO 375G,65.0,34.05,CONSUM,DELFIN bogavante crudo peso aprox. 425 g,14.3,"0,42 kg",2026-06-13,https://tienda.consum.es/es/c/congelados/pescados-mariscos/2521,Precio con IVA. €/kg indicado por tienda. Merma por caparazón.,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv,SI,1135,SI,"Seleccionado por tener mejor combinación de precio, proveedor, URL y observación."
ING-0210,BOGAVANTE CRUDO 375G,0.0,,PENDIENTE,,,,2026-06-13,,Fuera de lote: pescado/marisco tratado en lote04.,lote11,actualizacion_precios_lote11_bebidas_cafes_infusiones_con_mermas.csv,NO,-70,NO,Descartado frente a otra fila del mismo código con mejor puntuación o precio más útil.
ING-0220,CARACOLES TIERRA MORO COCIDO,5.0,7.14,CONSUM,Caracol avellanec 350 g,2.5,350 g,2026-06-13,https://tienda.consum.es/es/c/frescos/pescaderia/2171?page=6,Equivalente a caracol moro cocido. Precio con IVA. €/kg indicado por tienda.,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv,SI,1120,SI,"Seleccionado por tener mejor combinación de precio, proveedor, URL y observación."
ING-0220,CARACOLES TIERRA MORO COCIDO,5.0,,PENDIENTE,,,,2026-06-13,,Caracoles ya tratados en lote04 pescado/marisco. No actualizar en lote verduras.,lote05,actualizacion_precios_lote05_verduras_hortalizas_con_mermas.csv,NO,0,NO,Descartado frente a otra fila del mismo código con mejor puntuación o precio más útil.
ING-0220,CARACOLES TIERRA MORO COCIDO,5.0,,PENDIENTE,,,,2026-06-13,,Duplicado: caracoles tratados en lote04. No actualizar aquí.,lote12,actualizacion_precios_lote12_varios_decoracion_otros_con_mermas.csv,NO,-70,NO,Descartado frente a otra fila del mismo código con mejor puntuación o precio más útil.
ING-0221,CARNE BUEY DE MAR COCIDO 500G,0.0,19.78,MAKRO,Altamar carne buey de mar cocido congelado 500 g,9.89,500 g,2026-06-13,https://tienda.makro.es/shop/store/pv/BTY-X79786/0032/0021/Altamar-Carne-buey-mar-cocido-congelado-%28500-g%29,"Precio con IVA/IGIC incluido. Convertido a €/kg. Carne limpia, merma 0%.",lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv,SI,1135,SI,"Seleccionado por tener mejor combinación de precio, proveedor, URL y observación."
ING-0221,CARNE BUEY DE MAR COCIDO 500G,0.0,,PENDIENTE,,,,2026-06-13,,Pescado/marisco: reservado para lote04 pescado y marisco.,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv,NO,0,NO,Descartado frente a otra fila del mismo código con mejor puntuación o precio más útil.
ING-0222,CARNE DE NECORA 1K,0.0,,PENDIENTE,,,,2026-06-13,,Pescado/marisco: reservado para lote04 pescado y marisco.,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv,NO,0,SI,"Seleccionado por tener mejor combinación de precio, proveedor, URL y observación."
ING-0222,CARNE DE NECORA 1K,0.0,,PENDIENTE,,,,2026-06-13,,Carne de nécora 1 kg no localizada con precio oficial claro.,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv,NO,0,NO,Descartado frente a otra fila del mismo código con mejor puntuación o precio más útil.
ING-0223,CARNE VIEIRA 8-12PIEZAS 800g,0.0,27.4875,MAKRO,Altamar carne vieira congelada 8/12 piezas 800 g,21.99,800 g,2026-06-13,https://tienda.makro.es/shop/store/pv/BTY-X79792/0032/0021/Altamar-Carne-vieira-congelada-8-12-piezas-800g,Precio con IVA/IGIC incluido. Convertido a €/kg. Carne limpia.,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv,SI,1135,SI,"Seleccionado por tener mejor combinación de precio, proveedor, URL y observación."
ING-0223,CARNE VIEIRA 8-12PIEZAS 800g,0.0,,PENDIENTE,,,,2026-06-13,,Pescado/marisco: reservado para lote04 pescado y marisco.,lote03,actualizacion_precios_lote03_carnes_aves_charcuteria_con_mermas.csv,NO,0,NO,Descartado frente a otra fila del mismo código con mejor puntuación o precio más útil.
ING-0228,COCOCHA BACALAO,,,PENDIENTE,,,,2026-06-13,,No procesado en este lote.,lote04,actualizacion_precios_lote04_pescado_marisco_con_mermas.csv,NO,0,SI,"Seleccionado por tener mejor combinación de precio, proveedor, URL y observación."
ING-0228,COCOCHA BACALAO,5.0,,PENDIENTE,,,,2026-06-13,,"Fuera de lote: pescado/marisco, revisar en lote04.",lote06,actualizacion_precios_lote06_frutas_con_mermas.csv,NO,-85,NO,Descartado frente a otra fila del mismo código con mejor puntuación o precio más útil.
